Nome,Autor,Preço,Quantidade,Email,Gênero
Dom Casmurro,Machado de Assis,35.9,12,machado@literatura.com,M
O Alienista,Machado de Assis,29.5,8,machado@literatura.com,M
Memórias Póstumas de Brás Cubas,Machado de Assis,42.0,15,machado@literatura.com,M
Grande Sertão: Veredas,Guimarães Rosa,58.9,10,rosa@literatura.com,M
Capitães da Areia,Jorge Amado,37.2,20,amado@literatura.com,M
"Gabriela, Cravo e Canela",Jorge Amado,41.75,18,amado@literatura.com,M
Vidas Secas,Graciliano Ramos,33.0,16,graciliano@literatura.com,M
São Bernardo,Graciliano Ramos,30.0,14,graciliano@literatura.com,M
A Hora da Estrela,Clarice Lispector,29.9,22,clarice@literatura.com,F
Perto do Coração Selvagem,Clarice Lispector,34.5,19,clarice@literatura.com,F
O Primo Basílio,Eça de Queirós,45.0,11,eca@literatura.com,M
Os Maias,Eça de Queirós,55.0,13,eca@literatura.com,M
Ensaio sobre a Cegueira,José Saramago,49.9,25,saramago@literatura.com,M
O Evangelho Segundo Jesus Cristo,José Saramago,52.5,17,saramago@literatura.com,M
1984,George Orwell,39.9,30,orwell@literatura.com,M
A Revolução dos Bichos,George Orwell,29.9,28,orwell@literatura.com,M
Orgulho e Preconceito,Jane Austen,44.0,21,austen@literatura.com,F
Razão e Sensibilidade,Jane Austen,40.0,18,austen@literatura.com,F
O Senhor dos Anéis,J.R.R. Tolkien,120.0,9,tolkien@fantasia.com,M
O Hobbit,J.R.R. Tolkien,59.9,14,tolkien@fantasia.com,M
